particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
23,13,0,-225.5367486368,290.5434233768,13256.9758188025,13256.9758188025,-0.0426131712,0.2425534123,231.6096867758,0.105658,-1
23,-13,0,-225.5367486368,290.5434233768,13256.9758188025,13256.9758188025,-0.3452421309,0.2570937979,576.6488036638,0.1056579996,1
24,32,0,-122.558118382,346.4712029408,6918.091203557,6918.091203557,-0.1461967851,0.4132975984,560.6522838787,0.3548000001,0
24,13,0,-122.558118382,346.4712029408,6918.091203557,6918.091203557,-0.0334793476,0.3775941794,446.6950192329,0.1056580002,-1
24,-13,0,-122.558118382,346.4712029408,6918.091203557,6918.091203557,-0.1127174374,0.035703419,113.9572647051,0.105658,1
25,32,0,-283.9818322738,307.7088958334,15362.4054705189,15362.4054705189,-0.1527451645,0.1655072281,252.7986622353,0.3548,0
25,13,0,-283.9818322738,307.7088958334,15362.4054705189,15362.4054705189,-0.2151435931,0.0414333221,160.5316075235,0.105658,-1
25,-13,0,-283.9818322738,307.7088958334,15362.4054705189,15362.4054705189,0.0623984286,0.124073906,92.267054714,0.105658,1
26,32,0,-357.7342676942,173.0582594526,14999.479378809,14999.479378809,-0.831992486,0.4024863831,1093.0920063354,0.3548,0
26,13,0,-357.7342676942,173.0582594526,14999.479378809,14999.479378809,-0.2249552802,-0.0093031862,284.0187702431,0.1056579999,-1
26,-13,0,-357.7342676942,173.0582594526,14999.479378809,14999.479378809,-0.6070372057,0.4117895692,809.073235975,0.1056579999,1
27,32,0,-94.8435622745,272.7981536905,7498.452793271,7498.452793271,-0.0669412641,0.1925428866,331.7293592227,0.3548,0
27,13,0,-94.8435622745,272.7981536905,7498.452793271,7498.452793271,-0.164316844,0.0397197336,164.8275105166,0.105658,-1
27,-13,0,-94.8435622745,272.7981536905,7498.452793271,7498.452793271,0.0973755798,0.152823153,166.9018486991,0.105658,1
28,32,0,-260.7654093819,530.4090295038,1206.8093684875,1206.8093684875,-0.2380439802,0.4841925807,429.0472074996,0.3547999999,0
28,13,0,-260.7654093819,530.4090295038,1206.8093684875,1206.8093684875,-0.0917796882,0.0439760324,60.0264138415,0.105658,-1
28,-13,0,-260.7654093819,530.4090295038,1206.8093684875,1206.8093684875,-0.1462642921,0.4402165483,369.0207936456,0.1056580002,1
29,32,0,-94.8435622745,272.7981536905,19758.0297564519,19758.0297564519,-0.0669412641,0.1925428866,331.7293592227,0.3548,0
29,13,0,-94.8435622745,272.7981536905,19758.0297564519,19758.0297564519,-0.1464190731,0.0084388586,162.6658344735,0.105658,-1
29,-13,0,-94.8435622745,272.7981536905,19758.0297564519,19758.0297564519,0.079477809,0.184104028,169.0635247422,0.1056580001,1
30,32,0,-251.9619615341,266.5604743919,9184.8001914682,9184.8001914682,-0.1211877418,0.1282092811,226.0588793723,0.3548,0
30,13,0,-251.9619615341,266.5604743919,9184.8001914682,9184.8001914682,-0.0708061512,0.034326152,188.6920444972,0.105658,-1
30,-13,0,-251.9619615341,266.5604743919,9184.8001914682,9184.8001914682,-0.0503815906,0.0938831291,37.3668348715,0.105658,1
31,32,0,-381.6481057765,341.714582957,6195.8870560229,6195.8870560229,-1.7062841048,1.5277480812,2101.2904744408,0.3548,0
31,13,0,-381.6481057765,341.714582957,6195.8870560229,6195.8870560229,-0.1773350505,0.1361820279,215.6497867601,0.1056579999,-1
31,-13,0,-381.6481057765,341.714582957,6195.8870560229,6195.8870560229,-1.5289490518,1.391566051,1885.640684591,0.1056580016,1
32,32,0,-187.3586769482,385.2617523812,107.0474381097,107.0474381097,-0.0947263707,0.1947838668,237.6265404219,0.3548,0
