particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
9767,-13,0,-303.3629195662,161.5948330526,7840.8996203969,7840.8996203969,-0.1532776966,0.1079998538,196.8087082848,0.1056579999,1
9768,32,0,-462.9865746262,248.3678783387,4846.0665807583,4846.0665807583,-1.2401159219,0.6652567856,1258.9014784053,0.3548,0
9768,13,0,-462.9865746262,248.3678783387,4846.0665807583,4846.0665807583,-0.9462179683,0.3866186522,940.8759513509,0.105658001,-1
9768,-13,0,-462.9865746262,248.3678783387,4846.0665807583,4846.0665807583,-0.2938979545,0.2786381339,318.0255280117,0.105658,1
9769,32,0,-206.090682438,277.9455693942,1291.1299031798,1291.1299031798,-0.119005337,0.1604973392,271.3975602938,0.3548,0
9769,13,0,-206.090682438,277.9455693942,1291.1299031798,1291.1299031798,-0.1168257874,0.0245197051,210.9255218295,0.105658,-1
9769,-13,0,-206.090682438,277.9455693942,1291.1299031798,1291.1299031798,-0.0021795496,0.1359776341,60.4720384676,0.105658,1
9770,32,0,-331.4503409513,293.7208396716,13033.3380899559,13033.3380899559,-0.1775082507,0.157302214,251.7085292863,0.3548,0
9770,13,0,-331.4503409513,293.7208396716,13033.3380899559,13033.3380899559,-0.0017487418,0.1081828003,176.8856572094,0.105658,-1
9770,-13,0,-331.4503409513,293.7208396716,13033.3380899559,13033.3380899559,-0.175759509,0.0491194137,74.8228720813,0.105658,1
9771,32,0,-331.4503409513,293.7208396716,16742.0773887891,16742.0773887891,-0.1775082507,0.157302214,251.7085292863,0.3548,0
9771,13,0,-331.4503409513,293.7208396716,16742.0773887891,16742.0773887891,-0.0625051174,-0.0620786475,124.966683673,0.105658,-1
9771,-13,0,-331.4503409513,293.7208396716,16742.0773887891,16742.0773887891,-0.1150031333,0.2193808615,126.7418456178,0.105658,1
9772,32,0,-331.4503409513,293.7208396716,18639.2173962827,18639.2173962827,-0.1775082507,0.157302214,251.7085292863,0.3548,0
9772,13,0,-331.4503409513,293.7208396716,18639.2173962827,18639.2173962827,-0.0230300112,0.0726392746,184.9266147978,0.105658,-1
9772,-13,0,-331.4503409513,293.7208396716,18639.2173962827,18639.2173962827,-0.1544782395,0.0846629393,66.781914493,0.105658,1
9773,32,0,-331.4503409513,293.7208396716,2947.3539625881,2947.3539625881,-0.1775082507,0.157302214,251.7085292863,0.3548,0
9773,13,0,-331.4503409513,293.7208396716,2947.3539625881,2947.3539625881,-0.2290176017,0.1251673954,132.2998467475,0.105658,-1
